DEN_Z_URB,avg_CO_2_per_road,avg_NO_x_per_road,avg_PM_per_road,avg_VOC_per_road
Tiburtino Sud,160.00210798559095,0.054650909876215514,0.0004756308643125395,0.27006457291463004
La Rustica,313.37424210712805,0.08414089286385183,0.000825964685613902,0.5502408258096414
Acqua Vergine,408.12325419852453,0.11249485396458038,0.0011011537921267985,0.7144669983200319
Settecamini,219.85725393582746,0.06627821738410937,0.0008126426058603716,0.3990447223011707
Lunghezza,87.86202314171658,0.03352417816566957,0.00037960708190669406,0.1739210404230534
S. Vittorino,550.1026076444288,0.2187342961928529,0.0015596563230663206,0.8853081395334121
Centro Storico,13.78873149883173,0.012591744561603163,0.00031845059916579577,0.07259620888847192
Trieste,63.148049793885846,0.03078027790718118,0.0008580875636523775,0.15393372662743443
S. Lorenzo,12.95158326410585,0.011686621601499306,0.0003364291048970342,0.06700212273281067
Nomentano,28.866475316042973,0.017765737602848705,0.00038965939786512923,0.10089638725131532
Casilino,10.356173561617386,0.008538744824283302,0.00022004743068653054,0.049999893064675636
Gordiani,10.126402305419912,0.008443695609870345,0.00023253664745754074,0.04780036544297658
XX Settembre,15.324672526803361,0.012992266326506638,0.00046838692104756314,0.0686337384511892
UniversitÃ ,8.813632795915884,0.00687982447369209,0.0001977921357906875,0.03652824786836047
Torre Maura,188.1817866536435,0.05428602021356831,0.0005489807009114256,0.35120488674054073
Osteria del Curato,133.68201447335048,0.04748327296714593,0.0008115087954314845,0.2910782756686408
Quarto Miglio,231.1858933534686,0.07891348454258049,0.0011321346149597857,0.41622598109188924
Ciampino,390.6450103545031,0.24257354563316302,0.0019439103280227824,0.8010430720523499
Tuscolano Nord,12.752078587088489,0.010884825084108993,0.00022842066642551656,0.063857836094398
Esquilino,16.087786170872935,0.014586003631093929,0.00040082064216725435,0.08307295532957343
Villa Borghese,22.047491091139175,0.013380049819943451,0.0005799771619870249,0.06295537281221186
Casal Bruciato,170.06894747065135,0.060350851120623515,0.0008998616451872716,0.3588069731722445
Aeropoprto dell' Urbe,299.61984182878547,0.10518931085723468,0.0013121897296827084,0.6289541251389126
Fidene,108.54899616095614,0.044917985042956694,0.0006648649538296605,0.23637421432098601
Settebagni,166.82883568300394,0.06374415179839794,0.0008536656947809737,0.3481689242378644
Grottarossa Ovest,203.7162678366551,0.05938905827293515,0.0009519228034911535,0.38725366932591915
Villa Ada,168.88582758147987,0.06881703806607893,0.001395070032574876,0.36698476066470775
Tor di Quinto,81.00786551411127,0.03883225540115669,0.0007377458538458116,0.1885109009360067
Casal Bertone,84.84424363701574,0.035828884539851044,0.0005946819959339487,0.22924694605054327
Romanina,145.5521503033233,0.061206002592829704,0.0010515503882174814,0.3556574091616994
Barcaccia,64.28387574525027,0.030747943737685825,0.0005248357100808271,0.1519694009427409
Pietralata,21.397680265395664,0.012915530058120512,0.00036500008985692673,0.07144602792187797
Grottarossa Est,209.24010909079385,0.08299282572036999,0.001205692017367061,0.42314074644782695
Prima Porta,503.6871401806013,0.16817560871940043,0.00102657698176469,0.7223171690850029
Tor S. Giovanni,565.2896304014413,0.2081223131636658,0.002335857456990245,0.9696467037126494
Eur,55.73524917047798,0.03193582931952719,0.0007262139861828122,0.1689373779764655
Tormarancia,21.875680803924613,0.013785346381089365,0.00027496716522784403,0.06979253643202979
Zona Archeologica,14.814463926567917,0.01073914072973157,0.00027163397721362905,0.05876190190885234
Tiburtino Nord,16.14641023042955,0.011814106655596112,0.00029202946317737473,0.06833336975350425
Centocelle,11.49204855128254,0.011420428405853418,0.0007393944381818349,0.056607335330127975
Alessandrina,12.586035443933357,0.010251947828141388,0.0002410446236690812,0.06106126826950496
Tor Tre Teste,15.887675411450235,0.011953520042956562,0.00028175068900053327,0.07201084324501847
Tor Sapienza,135.34588826897223,0.04056153808296341,0.0004641643144092751,0.2344862814834339
Omo,110.77204701037783,0.036654785015778325,0.0005518465230749664,0.2412779687334382
Casetta Mistica,291.1958772021197,0.08346751653479327,0.0011567785962529511,0.4984364439279117
Lucrezia Romana,247.76541821479796,0.0840482951348646,0.0009155712585172898,0.4729607338610804
Appia Antica Sud,594.3868038328962,0.17806129854547817,0.0015906924205710126,1.0691896752021655
Conca d'Oro,11.963841267466545,0.01104419775691349,0.00023296571700528223,0.06637723361927783
Val Melaina,11.514126882670208,0.009550268333540146,0.0001831961720391257,0.056774899473555164
Serpentara,152.23123031473384,0.05974562007895719,0.0005926664502284359,0.29597539603931744
Casal Boccone,222.45110260066335,0.07177882337434971,0.0006921902102708287,0.3841485207530717
Giardinetti-Tor Vergata,171.89777752321754,0.06913242389784788,0.0010364068089100003,0.31777779520870536
Torre Angela,74.44387760808434,0.029051104042118105,0.0004871237348458861,0.16109285437979326
S. Basilio,141.4529220211707,0.04574371589133442,0.0005368800572262454,0.28265754243149716
Casal de' Pazzi,12.948507069223805,0.010779050324237783,0.00023928297566962154,0.06534862247647988
Bufalotta,536.5819296599825,0.15833527194697164,0.0021484892931321726,0.920026354221298
Sacco Pastore,14.792658730971912,0.01185784062004094,0.0003882966138443688,0.06349544538967196
S. Cornelia,558.9331567605657,0.1687255193906694,0.0009674812511760987,0.8905983474428673
Giustiniana,316.1323109356494,0.06628512598899532,0.0007028859108987759,0.5450683449038154
Farnesina,53.312000219113585,0.027123384882691236,0.0004699150907584603,0.1518059477427902
Verano,83.22318755949652,0.04352375060682334,0.0015006846738057592,0.22001649122035746
Monte Sacro Alto,13.239985817717663,0.010641706116979645,0.00026437090423957915,0.057395730075670094
Tor Cervara,237.6093710258262,0.09149286374197141,0.0019514953565176977,0.5162992419792519
Gregna,87.17117603145428,0.04167865968636645,0.0008460924488964109,0.21260202874433543
Morena,38.137718278581346,0.023170566726741768,0.000570302455129359,0.12013773597768176
Monte Sacro,10.564833918068972,0.009107312288910584,0.0002608187569801244,0.04920345464400574
Quadraro,9.603050645373084,0.00828928023005243,0.00026841802755505744,0.04656685283195905
Appio-Claudio,13.26293258147855,0.010748577991676984,0.00033557214644553524,0.059493750330919255
S. Alessandro,234.33407402137257,0.10091560972000169,0.0016468167231578866,0.4736562388954059
Valco S. Paolo,11.761705884424439,0.009023899622118671,0.00024659545296821096,0.04762312123968022
Appia Antica Nord,242.16909085808442,0.07987988238302185,0.0008673091508169231,0.45591301391327577
Cecchignola,168.26018109469442,0.041768445505265456,0.0005504497906060037,0.28906268093815585
Vallerano Castel di Leva,265.2481096025199,0.07983782253376596,0.0008834986762665291,0.4642085029573017
Laurentino,230.62795104281423,0.06704006833187026,0.000974599364265968,0.45275624094288913
Spinaceto,115.4886712842486,0.053759725450355046,0.0007886051896437146,0.2514706862174299
Decima,988.4158299443274,0.3104235195382976,0.002187595601877069,1.6224530119930003
Castel Romano,340.35340709149415,0.11981894841572154,0.0015824924895197873,0.6526400305016029
Castel Porziano,406.6657116172919,0.16277104146316704,0.0018814628251943859,0.8253696039234333
Flaminio,16.570046198517918,0.013233788867421544,0.0003775415202129891,0.07395284712899852
Borghesiana,16.818490369387696,0.01208227304882696,0.00029865519212439424,0.06141394783663953
Tuscolano Sud,15.830940623147248,0.014134777632245717,0.00041795690681751174,0.07652329740644685
Tor Fiscale,35.61053033173084,0.02411653837381976,0.0009431045307702314,0.10227830994868824
Latino,15.157818788311236,0.013574363767520319,0.00047485171627110605,0.07003398109872674
Pignatelli,22.58887631784786,0.01673460165087211,0.0005126015763901458,0.07775404129202027
Torrino,118.77287142172813,0.04685115448784453,0.0008050249054884506,0.26110815522134906
Don Bosco,13.475061012165886,0.013157834977574332,0.0002897502570960773,0.06559393017599148
Ostiense,12.244958621883823,0.009834963517994157,0.0003081456024673575,0.048153387006515495
Appio,15.188668473277772,0.01261242338945309,0.00040886584352819235,0.06649731320078416
Garbatella,10.991002971658304,0.008415865888835508,0.0002582549324957342,0.04786858243654455
Aventino,11.91424656543084,0.00980600711476644,0.00026300714373078134,0.05727565990816607
Mezzocammino,268.91291035345404,0.0946637800268992,0.0012449689242203712,0.48098191992931977
Magliana,639.3212074369442,0.16548018954529162,0.0016739518000612437,1.0922330367334918
Ponte Galeria,460.4919374881152,0.12337412828187508,0.0011843305853585823,0.7750015275675951
Pantano di Grano,504.0952289093844,0.16797863133384455,0.0018627642640527268,0.9014937087364647
Trullo,134.82629655171996,0.05189379345804502,0.0012229064339392822,0.26415253979644476
Torrespaccata,17.311505910963557,0.012953567207614845,0.0005405306176704833,0.05614645096034673
Centro Direzionale Centocelle,15.613852037624879,0.010467672445509184,0.00043073037846443524,0.050565053574962694
Torpignattara,13.520600447667896,0.011088217451029657,0.0003865124792362881,0.05594486090653485
Pian Due Torri,29.014000516016406,0.01737825240244282,0.0004174824457087295,0.09929622400610881
Ostia Nord,21.910835379332887,0.016765691344582497,0.0003699720275977991,0.09737792239739183
Infernetto,20.887828301183124,0.013563981211907484,0.0003295037821909793,0.06573033025892004
Palocco,11.690790539979934,0.008248687132926548,0.00017825979192709107,0.04817002968698172
Ostia Sud,16.688526167770743,0.013382633271865597,0.00032754427895456445,0.07647917301055053
Acilia Sud,43.914181810854565,0.02452886806635559,0.0004882201612831169,0.12841873083795496
Castel Fusano,58.963090343416226,0.030082143062444482,0.0006711919601634987,0.13140660957332864
Primavalle,24.98485222736569,0.019738915186826488,0.000620081526206869,0.10097904335281103
Val Cannuta,55.32248911626093,0.035218415397927964,0.0008396410943704914,0.1882015891939964
Corviale,17.559308351988488,0.013607173440946748,0.00032515669299618464,0.07848794060269125
Pisana,487.6745926021436,0.14987540230215515,0.0021506766206364825,0.891811242200399
Fogaccia,148.9151558726267,0.04639290188874388,0.000664613398675126,0.2939537470955608
S. Maria della PietÃ ,108.70193014718237,0.034078255912331365,0.0005519271714240008,0.2367669345220479
Ottavia,99.55717053383223,0.02840908422361823,0.0004025768201798412,0.2162522958116456
Labaro,107.86551635762096,0.03899185511334183,0.0006427178328043519,0.22116912854468085
Boccea,548.6134372159593,0.17070112160446504,0.002299800240755743,0.9815795122752052
Casalotti di Boccea,70.05930219119651,0.028730135775476652,0.0004766169232190471,0.1918447990370916
Castelluccia,143.60788019352998,0.042470855610456916,0.0007318192500723296,0.2813010041942293
Massimina,78.54472655428654,0.03568137949902606,0.00045162014814688773,0.22277224574784768
Aurelio Nord,15.06760854247892,0.013075353316500633,0.000356193411292771,0.07059888235096623
Aurelio Sud,17.46366508869875,0.01358760793944274,0.00036557441269200196,0.07282516072783021
Buon Pastore,27.067065358830806,0.021715230777241648,0.0005695405046506583,0.11425101173960486
Portuense,26.059579419892447,0.017376240154471794,0.0005036918164679298,0.0935276103437571
Colli Portuensi,21.10949379702409,0.01818035120086279,0.0003191496481383492,0.1106046929528754
Villa Pamphili,37.12345980378714,0.02395921305320702,0.0006978795785496782,0.12124718447872014
Trionfale,15.579635077084486,0.01549828648939393,0.00028034747937336014,0.07471957756745094
Prati,16.73855753556678,0.014999964938930558,0.0004173993829289943,0.08367176342768576
Foro Italico,62.22867933324739,0.034819189890747976,0.000551120978262455,0.19867550321171568
Gianicolense,11.580159685142219,0.010358930219691644,0.00023706860337770742,0.061022775893431636
Pineto,34.46968385812483,0.02284320678546991,0.0008748239632231357,0.11857562488818842
Medaglie d' Oro,18.066823985605012,0.01637822903995513,0.000370880842133978,0.07651588841813103
Trastevere,13.527530197356198,0.011984883405573389,0.00036240669809810847,0.0665154742965643
La Storta,85.74419656021824,0.042515208467939034,0.0005378802407550582,0.19591614276609007
Cesano,173.70502391693876,0.07385225432688368,0.0008466521200283558,0.2932525260701448
Salario,13.195414558354688,0.014589868382313827,0.0003440265524009643,0.060511445574972254
Tomba di Nerone,25.571617599901735,0.01646255322834359,0.0002582836790707953,0.10696473144116986
Acquatraversa,34.38014500301618,0.029201752963649012,0.0006339013050681388,0.17516258497450438
Ostia Antica,52.06680560710968,0.027622523309259035,0.0007441193522046126,0.1399078870521008
Della Vittoria,18.796701900705077,0.019614855529071926,0.0004547936462159408,0.07499841050414367
Tor di Valle,75.25038587369703,0.034810926188253107,0.0007122518521048201,0.19435075042797093
Villaggio Olimpico,19.49220826071362,0.0143296672540262,0.0003503187847793658,0.07586869591005081
Celio,9.096891866224569,0.008416368582402356,0.00013546016009782148,0.05344713786503345
Tufello,10.870016830063415,0.013756375332366988,0.0013362042919492698,0.05825815366667103
Grottaperfetta,13.16906893636636,0.009297281241345172,0.00028589815296902,0.04812180680286258
S. Maria di Galeria,62.92768819523709,0.02835412025995964,0.000526596142590948,0.13832141063481426
Marconi,17.728362493367293,0.016624334997712886,0.0003593905027307945,0.09774204643270197
Malafede,35.81982240603762,0.020255617028168874,0.00041551429343194044,0.1077068888496921
Parioli,15.142075010818191,0.013574167671864406,0.0002682198400301902,0.08131968438368321
Martignano,351.4311354160309,0.18524309661976682,0.003321079055069731,0.8453971127892146
Porta Medaglia,89.40935934869121,0.053391467714748335,0.0012052289111690417,0.21336690370676126
Acilia Nord,13.354859049295642,0.009566176234528536,0.00024221952880209064,0.055056282871891266
Eroi,16.551765058073617,0.014903624254342484,0.00036728644686734156,0.0861163742397791
Tre Fontane,19.906911652738398,0.014769232681620368,0.0005509660813942164,0.07905475870510352
Testaccio,8.497247318058838,0.007424329369606301,0.00013073329446541812,0.04544500485352739
Navigatori,14.343500776633398,0.010396924773804538,0.00030620542472898515,0.05390052703705579
Santa Palomba,42.35707442323829,0.026811272356246984,0.0008268005261233161,0.12370995869622316
Villaggio Giuliano,8.96450826061784,0.007856882142423617,0.00015813253923763687,0.04918307311067419
